ticker,name,is_active,exchange_code,country_code,currency_code
ASPIY,Anangel American Shipholdings Ltd,0,XNAS,USA,USD
ASV,ASV Holdings Inc,0,XNAS,USA,USD
ATRA,Atara Biotherapeutics Inc,1,XNAS,USA,USD
AURC,Aurora Acquisition Corp,0,XNAS,USA,USD
AVBP,"ArriVent BioPharma, Inc. Common Stock",1,XNAS,USA,USD
AZPN,Aspen Technology Inc,1,XNAS,USA,USD
AZUR,Azure Midstream Partners Lp,0,XNAS,USA,USD
BBEPP,Breitburn Energy Partners LP,0,XNAS,USA,USD
BCAB,Bioatla Inc,1,XNAS,USA,USD
BCAL,Southern California Bancorp Common Stock,1,XNAS,USA,USD
BDAY,Celebrate Express Inc,0,XNAS,USA,USD
BEAT,Heartbeam Inc,1,XNAS,USA,USD
BERW,Beringer Wine Estates Holdings Inc,0,XNAS,USA,USD
BFRG,"Bullfrog AI Holdings, Inc. Common Stock",1,XNAS,USA,USD
BIOTW,Biotech Acquisition Company,0,XNAS,USA,USD
BIQI,BIQI International Holding Corporation,0,XNAS,USA,USD
BIVN,Bioenvision Inc,0,XNAS,USA,USD
BLPH,Bellerophon Therapeutics Inc,1,XNAS,USA,USD
BLUWW,Blue Water Acquisition Corp,0,XNAS,USA,USD
BNAIW,Brand Engagement Network Inc,1,XNAS,USA,USD
BNIXU,Bannix Acquisition Corp Unit,0,XNAS,USA,USD
BOBE,Bob Evans Farms Inc,0,XNAS,USA,USD
BODY_old,Body Central Corp,0,XNAS,USA,USD
BOKF,BOK Financial Corporation,1,XNAS,USA,USD
BOWX,BowX Acquisition Corp,0,XNAS,USA,USD
BREW,Craft Brew Alliance Inc,0,XNAS,USA,USD
BSNX,Basin Exploration Inc,0,XNAS,USA,USD
BWAC,Better World Acquisition Corp,0,XNAS,USA,USD
BWC,Blue Whale Acquisition I Corp,0,XNAS,USA,USD
BYNOW,byNordic Acquisition Corporation Warrant,1,XNAS,USA,USD
BZFD,BuzzFeed Inc,1,XNAS,USA,USD
CAHCU,CA Healthcare Acquisition Corp,0,XNAS,USA,USD
CASC,Cascadian Therapeutics Inc,0,XNAS,USA,USD
CBAT,CBAK Energy Technology Inc,1,XNAS,USA,USD
CBPO,China Biologic Products Holdings Inc,0,XNAS,USA,USD
CCBN,Central Coast Bancorp,0,XNAS,USA,USD
CCIH,ChinaCache International Holdings Ltd,0,XNAS,USA,USD
CDCSY,CDC Software CORP,0,XNAS,USA,USD
CDMO,Avid Bioservices Inc,1,XNAS,USA,USD
CERCU,CERCU,0,XNAS,USA,USD
CERG,Ceres Group Inc,0,XNAS,USA,USD
CFFAU,CF Finance Acquisition Corp,0,XNAS,USA,USD
CGNT,Cognyte Software Ltd,1,XNAS,USA,USD
CHAS,Chastain Capital Corp,0,XNAS,USA,USD
CHFS,Nuwellis Inc,0,XNAS,USA,USD
CITE,Cartica Acquisition Corp,1,XNAS,USA,USD
CIZN,Citizens Holding Company,1,XNAS,USA,USD
CLIC,Calico Commerce Inc,0,XNAS,USA,USD
CLMB,Climb Global Solutions,1,XNAS,USA,USD
CLVR,Clever Leaves Holdings Inc,1,XNAS,USA,USD
CLVRW,Clever Leaves Holdings Inc,1,XNAS,USA,USD
CLXT,Calyxt Inc,0,XNAS,USA,USD
CMCA,Capitalworks Emerging Markets Acquisition Corp,0,XNAS,USA,USD
CMIIU,CM Life Sciences II Inc,0,XNAS,USA,USD
CMKG,mktg inc,0,XNAS,USA,USD
CMLFW,CM Life Sciences Inc,0,XNAS,USA,USD
CMPI,Checkmate Pharmaceuticals Inc,0,XNAS,USA,USD
CNSP,Cns Pharmaceuticals Inc,1,XNAS,USA,USD
CNTF,China TechFaith WireleS Communication Technology Limited,0,XNAS,USA,USD
COEP,Coeptis Therapeutics Inc,1,XNAS,USA,USD
COMMQ,COMMQ,0,XNAS,USA,USD
CORE,Core-Mark Holding Company Inc,0,XNAS,USA,USD
COSC,Cosmetic Center Inc,0,XNAS,USA,USD
COSOE,Commercesouth Inc,0,XNAS,USA,USD
COVB,Covest Bancshares Inc,0,XNAS,USA,USD
CPAQW,Counter Press Acquisition Corporation Warrant,0,XNAS,USA,USD
CRSA,Crescent Acquisition Corp,0,XNAS,USA,USD
CSNC,Cardinal State Bank,0,XNAS,USA,USD
CTIC,CTi Biopharma Corp,0,XNAS,USA,USD
CTLM,Centillium Communications Inc,0,XNAS,USA,USD
CVET,Covetrus Inc,0,XNAS,USA,USD
CWCIQ,Crosswave Communications Inc,0,XNAS,USA,USD
CYBX,Cyberonics Inc,0,XNAS,USA,USD
CYN,Cyngn Inc,1,XNAS,USA,USD
DAOO,Crypto 1 Acquisition Corp,0,XNAS,USA,USD
DAWKQ,Daw Technologies Inc,0,XNAS,USA,USD
DCBK,Desert Community Bank,0,XNAS,USA,USD
DEACW,Diamond Eagle Acquisition Corp,0,XNAS,USA,USD
DERM1,Penederm Inc,0,XNAS,USA,USD
DETC,Detection Systems Inc,0,XNAS,USA,USD
DFPHW,DFP Healthcare Acquisitions Corp,0,XNAS,USA,USD
DGLV,Dglv Inc,0,XNAS,USA,USD
DHBCU,DHB Capital Corp Unit,0,XNAS,USA,USD
DMAQ,Deep Medicine Acquisition Corp,0,XNAS,USA,USD
DORM,Dorman Products Inc,1,XNAS,USA,USD
