date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,code_name,industry,industryClassification
2024-01-02,sh.603005,21.9300,21.9600,21.6000,21.6100,21.9600,10878585,236549491.5200,3,1.668100,1,-1.593800,119.808902,3.492135,15.460023,26.733542,0,晶方科技,电子,申万一级行业
2024-01-03,sh.603005,21.6100,21.7500,21.1200,21.3800,21.6100,12472603,267116423.7900,3,1.912500,1,-1.064300,118.533750,3.454967,15.295479,26.449011,0,晶方科技,电子,申万一级行业
2024-01-04,sh.603005,21.2500,21.3600,20.9200,21.0100,21.3800,10090616,212836129.3600,3,1.547200,1,-1.730600,116.482417,3.395176,15.030777,25.991287,0,晶方科技,电子,申万一级行业
2024-01-05,sh.603005,21.0000,21.2800,20.4000,20.5100,21.0100,12406528,257859890.6300,3,1.902300,1,-2.379800,113.710346,3.314377,14.673072,25.372742,0,晶方科技,电子,申万一级行业
2024-01-08,sh.603005,20.5100,20.5800,19.8500,19.8500,20.5100,13061046,262029726.1200,3,2.002700,1,-3.217900,110.051213,3.207722,14.200901,24.556261,0,晶方科技,电子,申万一级行业
2024-01-09,sh.603005,19.9200,20.3300,19.7600,19.9500,19.8500,10659583,213582606.4800,3,1.634500,1,0.503800,110.605627,3.223882,14.272442,24.679970,0,晶方科技,电子,申万一级行业
2024-01-10,sh.603005,19.9000,19.9700,19.3500,19.5000,19.9500,10260714,201665401.8400,3,1.573300,1,-2.255600,108.110763,3.151163,13.950507,24.123279,0,晶方科技,电子,申万一级行业
2024-01-11,sh.603005,19.3700,19.9400,19.3600,19.8900,19.5000,10894672,215224025.8600,3,1.670500,1,2.000000,110.272978,3.214186,14.229517,24.605745,0,晶方科技,电子,申万一级行业
2024-01-12,sh.603005,19.8500,19.8900,19.5100,19.5100,19.8900,8699997,171233206.8300,3,1.334000,1,-1.910500,108.166205,3.152779,13.957661,24.135650,0,晶方科技,电子,申万一级行业
2024-01-15,sh.603005,19.4000,20.2000,19.2900,19.7900,19.5100,14186653,281505955.9900,3,2.175300,1,1.435200,109.718564,3.198026,14.157976,24.482036,0,晶方科技,电子,申万一级行业
2024-01-16,sh.603005,19.7900,19.8700,19.3000,19.7600,19.7900,10902947,213118591.8800,3,1.671800,1,-0.151600,109.552240,3.193178,14.136514,24.444923,0,晶方科技,电子,申万一级行业
2024-01-17,sh.603005,19.6300,19.8100,19.0600,19.0700,19.7600,10162688,197592877.2200,3,1.558300,1,-3.491900,105.726782,3.081676,13.642880,23.591330,0,晶方科技,电子,申万一级行业
2024-01-18,sh.603005,19.0700,19.4100,18.5800,19.3500,19.0700,16880881,319625604.5700,3,2.588400,1,1.468300,107.279142,3.126923,13.843195,23.937716,0,晶方科技,电子,申万一级行业
2024-01-19,sh.603005,19.4400,20.0000,19.1400,19.1500,19.3500,16622375,325532983.6500,3,2.548800,1,-1.033600,106.170314,3.094603,13.700113,23.690297,0,晶方科技,电子,申万一级行业
2024-01-22,sh.603005,19.1800,19.3500,17.8200,17.9600,19.1500,18748866,348157365.1500,3,2.874800,1,-6.214100,99.572785,2.902302,12.848775,22.218159,0,晶方科技,电子,申万一级行业
2024-01-23,sh.603005,17.9800,18.3900,17.6500,18.2000,17.9600,14238298,258513138.0200,3,2.183200,1,1.336300,100.903379,2.941085,13.020473,22.515061,0,晶方科技,电子,申万一级行业
2024-01-24,sh.603005,18.2900,18.3600,17.4700,18.2100,18.2000,15961567,286243968.0500,3,2.447400,1,0.054900,100.958820,2.942701,13.027627,22.527432,0,晶方科技,电子,申万一级行业
2024-01-25,sh.603005,18.2100,18.7800,18.0300,18.7700,18.2100,17656738,326899965.6800,3,2.707400,1,3.075200,104.063540,3.033196,13.428257,23.220203,0,晶方科技,电子,申万一级行业
2024-01-26,sh.603005,18.5700,18.9600,18.3400,18.3700,18.7700,17692149,328314586.0900,3,2.712800,1,-2.131100,101.845883,2.968557,13.142093,22.725366,0,晶方科技,电子,申万一级行业
2024-01-29,sh.603005,18.3500,18.6300,17.6800,17.7100,18.3700,13579257,244456392.1000,3,2.082200,1,-3.592800,98.186750,2.861902,12.669922,21.908886,0,晶方科技,电子,申万一级行业
2024-01-30,sh.603005,17.5800,17.8800,16.9400,16.9800,17.7100,14904225,258919531.1500,3,2.285300,1,-4.122000,94.139526,2.743936,12.147672,21.005809,0,晶方科技,电子,申万一级行业
2024-01-31,sh.603005,16.9300,17.2000,16.0900,16.1200,16.9800,20763235,343764429.8400,3,3.183700,1,-5.064800,89.371564,2.604961,11.532419,19.941911,0,晶方科技,电子,申万一级行业
2024-02-01,sh.603005,16.0000,16.5400,15.8100,16.1600,16.1200,16627579,269037009.9200,3,2.549600,1,0.248100,89.593330,2.611425,11.561035,19.991395,0,晶方科技,电子,申万一级行业
2024-02-02,sh.603005,16.2400,16.4400,14.5400,15.0300,16.1600,26415415,404803489.6600,3,4.050400,1,-6.992600,83.328450,2.428819,10.752621,18.593481,0,晶方科技,电子,申万一级行业
2024-02-05,sh.603005,14.9800,15.0200,13.5300,13.7300,15.0300,32743532,458014307.6300,3,5.020700,1,-8.649400,76.121066,2.218742,9.822588,16.985263,0,晶方科技,电子,申万一级行业
2024-02-06,sh.603005,13.6500,14.8800,13.4400,14.7700,13.7300,27508137,391361084.5100,3,4.217900,1,7.574700,81.886973,2.386804,10.566615,18.271838,0,晶方科技,电子,申万一级行业
2024-02-07,sh.603005,14.8300,16.1700,14.8300,15.7200,14.7700,32879189,517684745.4500,3,5.041500,1,6.432000,87.153908,2.540322,11.246255,19.447074,0,晶方科技,电子,申万一级行业
2024-02-08,sh.603005,15.7200,16.6800,15.7100,16.6000,15.7200,26919507,440900627.1100,3,4.127700,1,5.598000,92.032752,2.682528,11.875816,20.535715,0,晶方科技,电子,申万一级行业
2024-02-19,sh.603005,17.0000,17.1100,16.3100,16.8300,16.6000,27599785,460813703.9500,3,4.232000,1,1.385500,93.307905,2.719696,12.040361,20.820246,0,晶方科技,电子,申万一级行业
2024-02-20,sh.603005,16.6000,16.8500,16.3300,16.7500,16.8300,18874697,312464826.1200,3,2.894100,1,-0.475300,92.864374,2.706768,11.983128,20.721278,0,晶方科技,电子,申万一级行业
2024-02-21,sh.603005,16.5200,17.3100,16.4500,16.8300,16.7500,25328800,431250298.6100,3,3.883800,1,0.477600,93.307905,2.719696,12.040361,20.820246,0,晶方科技,电子,申万一级行业
2024-02-22,sh.603005,16.7700,17.3400,16.7300,17.2400,16.8300,21953758,376066344.9300,3,3.366300,1,2.436100,95.581003,2.785951,12.333679,21.327453,0,晶方科技,电子,申万一级行业
2024-02-23,sh.603005,17.3800,17.5700,17.0300,17.5500,17.2400,21681415,376459950.9100,3,3.324500,1,1.798100,97.299687,2.836047,12.555456,21.710951,0,晶方科技,电子,申万一级行业
2024-02-26,sh.603005,17.4600,18.2000,17.4500,17.8400,17.5500,25388852,453238568.4000,3,3.893000,1,1.652400,98.907488,2.882910,12.762925,22.069708,0,晶方科技,电子,申万一级行业
2024-02-27,sh.603005,17.7000,18.6400,17.6400,18.6300,17.8400,25397909,462228863.8900,3,3.894400,1,4.428300,103.287360,3.010572,13.328100,23.047010,0,晶方科技,电子,申万一级行业
2024-02-28,sh.603005,18.6300,18.8300,17.2200,17.2400,18.6300,38509603,697342693.4200,3,5.904800,1,-7.461100,95.581003,2.785951,12.333679,21.327453,0,晶方科技,电子,申万一级行业
2024-02-29,sh.603005,17.0800,18.6400,17.0600,18.5200,17.2400,43482850,789904216.9100,3,6.667400,1,7.424600,102.677504,2.992797,13.249404,22.910930,0,晶方科技,电子,申万一级行业
2024-03-01,sh.603005,18.7000,18.8800,18.4000,18.7900,18.5200,40259490,751878936.9900,3,6.173100,1,1.457900,104.174423,3.036428,13.442565,23.244945,0,晶方科技,电子,申万一级行业
2024-03-04,sh.603005,18.9100,19.4500,18.3900,19.1500,18.7900,44353699,840830083.2300,3,6.800900,1,1.915900,106.170314,3.094603,13.700113,23.690297,0,晶方科技,电子,申万一级行业
2024-03-05,sh.603005,18.9100,19.6100,18.8400,19.0200,19.1500,41688195,802747897.2300,3,6.392200,1,-0.678900,105.449575,3.073596,13.607110,23.529476,0,晶方科技,电子,申万一级行业
2024-03-06,sh.603005,18.8100,18.9800,18.3700,18.7200,19.0200,28534533,533202699.6700,3,4.375300,1,-1.577300,103.786333,3.025116,13.392487,23.158348,0,晶方科技,电子,申万一级行业
2024-03-07,sh.603005,19.0400,19.3800,18.4000,18.4100,18.7200,25247313,477060547.6500,3,3.871300,1,-1.656000,102.067649,2.975021,13.170709,22.774850,0,晶方科技,电子,申万一级行业
2024-03-08,sh.603005,18.4500,19.1300,18.2600,18.8500,18.4100,27284573,512492972.9100,3,4.183600,1,2.390000,104.507071,3.046124,13.485490,23.319170,0,晶方科技,电子,申万一级行业
2024-03-11,sh.603005,18.6600,18.9800,18.4000,18.9600,18.8500,20758521,389746546.5700,3,3.183000,1,0.583600,105.116927,3.063900,13.564185,23.455250,0,晶方科技,电子,申万一级行业
2024-03-12,sh.603005,18.9500,19.4000,18.8400,19.0500,18.9600,22985749,439412106.2700,3,3.524500,1,0.474700,105.615899,3.078444,13.628572,23.566588,0,晶方科技,电子,申万一级行业
2024-03-13,sh.603005,19.1500,19.4600,19.0100,19.1600,19.0500,29906949,575142710.7800,3,4.585700,1,0.577400,106.225755,3.096219,13.707267,23.702668,0,晶方科技,电子,申万一级行业
2024-03-14,sh.603005,18.9100,19.1000,18.5500,18.8000,19.1600,22093551,416642174.6900,3,3.387700,1,-1.878900,104.229864,3.038044,13.449719,23.257315,0,晶方科技,电子,申万一级行业
2024-03-15,sh.603005,18.8000,18.9800,18.5500,18.9400,18.8000,15296758,286796498.8500,3,2.345500,1,0.744700,105.006044,3.060668,13.549877,23.430508,0,晶方科技,电子,申万一级行业
2024-03-18,sh.603005,19.0900,19.4300,18.9600,19.4300,18.9400,24114439,463873377.0800,3,3.697600,1,2.587100,107.722673,3.139851,13.900428,24.036683,0,晶方科技,电子,申万一级行业
2024-03-19,sh.603005,19.4300,19.6400,19.2700,19.3000,19.4300,21087465,409725732.8700,3,3.233400,1,-0.669100,107.001935,3.118843,13.807425,23.875861,0,晶方科技,电子,申万一级行业
2024-03-20,sh.603005,19.2500,19.5000,19.1900,19.4100,19.3000,17903098,346833256.5600,3,2.745200,1,0.569900,107.611790,3.136619,13.886120,24.011941,0,晶方科技,电子,申万一级行业
2024-03-21,sh.603005,19.5100,19.7800,19.2600,19.4400,19.4100,20922237,408331009.1000,3,3.208100,1,0.154600,107.778115,3.141467,13.907582,24.049054,0,晶方科技,电子,申万一级行业
2024-03-22,sh.603005,19.3500,19.7700,19.2400,19.2700,19.4400,28210245,549657107.4900,3,4.325600,1,-0.874500,106.835611,3.113995,13.785962,23.838748,0,晶方科技,电子,申万一级行业
2024-03-25,sh.603005,19.0500,19.3500,18.4600,18.4900,19.2700,23857022,452172983.8700,3,3.658100,1,-4.047700,102.511180,2.987949,13.227942,22.873817,0,晶方科技,电子,申万一级行业
2024-03-26,sh.603005,18.5200,18.9000,18.0100,18.2500,18.4900,20662273,380396291.4100,3,3.168200,1,-1.298000,101.180586,2.949165,13.056244,22.576915,0,晶方科技,电子,申万一级行业
2024-03-27,sh.603005,18.3000,18.3400,17.1100,17.1600,18.2500,21065823,370534880.3600,3,3.230100,1,-5.972600,95.137472,2.773023,12.276446,21.228486,0,晶方科技,电子,申万一级行业
2024-03-28,sh.603005,17.2400,18.0500,17.1100,17.8500,17.1600,22622652,400925508.8800,3,3.468800,1,4.021000,98.962929,2.884526,12.770079,22.082079,0,晶方科技,电子,申万一级行业
2024-03-29,sh.603005,17.8200,17.9200,17.4000,17.7900,17.8500,12711087,223900427.8400,3,1.949000,1,-0.336100,98.630281,2.874830,12.727155,22.007853,0,晶方科技,电子,申万一级行业
2024-04-01,sh.603005,17.8900,18.1500,17.8900,18.1500,17.7900,12225762,220755867.5000,3,1.874600,1,2.023600,100.626172,2.933005,12.984703,22.453206,0,晶方科技,电子,申万一级行业
2024-04-02,sh.603005,18.2500,18.2900,17.6600,17.8100,18.1500,14494371,258926145.8800,3,2.222500,1,-1.873300,98.741164,2.878062,12.741463,22.032595,0,晶方科技,电子,申万一级行业
2024-04-03,sh.603005,17.8600,17.9000,17.2600,17.5700,17.8100,14573675,256048151.0600,3,2.234600,1,-1.347600,97.410570,2.839278,12.569764,21.735693,0,晶方科技,电子,申万一级行业
2024-04-08,sh.603005,17.3600,17.5600,17.0000,17.0100,17.5700,11317184,194841870.3100,3,1.735300,1,-3.187300,94.305850,2.748784,12.169134,21.042922,0,晶方科技,电子,申万一级行业
2024-04-09,sh.603005,16.9700,17.3100,16.9000,17.2700,17.0100,13604852,233275231.2000,3,2.086100,1,1.528500,95.747327,2.790799,12.355141,21.364566,0,晶方科技,电子,申万一级行业
2024-04-10,sh.603005,17.1700,17.2000,16.4300,16.5400,17.2700,15188440,253425781.3300,3,2.328900,1,-4.227000,91.700104,2.672832,11.832891,20.461489,0,晶方科技,电子,申万一级行业
2024-04-11,sh.603005,16.4600,16.8900,16.3800,16.5100,16.5400,12148412,202733726.2900,3,1.862800,1,-0.181400,91.533780,2.667985,11.811429,20.424377,0,晶方科技,电子,申万一级行业
2024-04-12,sh.603005,16.5900,16.8700,16.4200,16.5800,16.5100,12973755,216522037.6300,3,1.989300,1,0.424000,91.921869,2.679296,11.861508,20.510973,0,晶方科技,电子,申万一级行业
2024-04-15,sh.603005,16.6000,16.8200,15.9700,16.3000,16.5800,15655215,256363498.1100,3,2.400500,1,-1.688800,90.369510,2.634049,11.661193,20.164587,0,晶方科技,电子,申万一级行业
2024-04-16,sh.603005,16.1400,16.3100,15.4400,15.4700,16.3000,17933351,282681985.4800,3,2.749800,1,-5.092000,85.767872,2.499922,11.067402,19.137802,0,晶方科技,电子,申万一级行业
2024-04-17,sh.603005,15.7000,16.2700,15.7000,16.2700,15.4700,14535640,233811759.9300,3,2.228800,1,5.171300,90.203186,2.629201,11.639731,20.127475,0,晶方科技,电子,申万一级行业
2024-04-18,sh.603005,16.1900,16.5000,15.9200,16.1900,16.2700,13935317,226514397.7800,3,2.136800,1,-0.491700,89.759654,2.616273,11.582498,20.028507,0,晶方科技,电子,申万一级行业
2024-04-19,sh.603005,16.0600,16.1800,15.7000,15.8600,16.1900,12005997,190850063.1300,3,1.840900,1,-2.038300,87.930087,2.562946,11.346412,19.620267,0,晶方科技,电子,申万一级行业
2024-04-22,sh.603005,15.9900,16.2200,15.4600,16.0400,15.8600,13349268,212752078.4000,3,2.046900,1,1.134900,69.741831,2.560188,11.461815,-9.695373,0,晶方科技,电子,申万一级行业
2024-04-23,sh.603005,16.1800,16.3500,16.0500,16.1700,16.0400,10459919,169357009.7300,3,1.603900,1,0.810500,70.307070,2.580937,11.554710,-9.773951,0,晶方科技,电子,申万一级行业
2024-04-24,sh.603005,16.2000,16.4900,16.1800,16.4800,16.1700,12108299,198448621.5400,3,1.856600,1,1.917100,71.654948,2.630417,11.776229,-9.961331,0,晶方科技,电子,申万一级行业
2024-04-25,sh.603005,16.3000,16.7400,16.2400,16.5200,16.4800,11779853,194718009.1400,3,1.806300,1,0.242700,71.828868,2.636802,11.804812,-9.985509,0,晶方科技,电子,申万一级行业
2024-04-26,sh.603005,16.5000,17.0300,16.5000,17.0100,16.5200,14534215,245251786.9000,3,2.228600,1,2.966100,73.959385,2.715012,12.154955,-10.281689,0,晶方科技,电子,申万一级行业
2024-04-29,sh.603005,17.1500,17.6400,17.1300,17.5600,17.0100,15123827,264136611.5100,3,2.319000,1,3.233400,76.350782,2.802799,12.547972,-10.614136,0,晶方科技,电子,申万一级行业
2024-04-30,sh.603005,17.9000,17.9800,17.5400,17.7100,17.5600,16250789,288356899.3300,3,2.491800,1,0.854200,67.680917,2.796001,12.415452,-6.433055,0,晶方科技,电子,申万一级行业
2024-05-06,sh.603005,18.0000,18.1400,17.8500,17.9200,17.7100,13970345,251547142.1700,3,2.142100,1,1.185800,68.483457,2.829155,12.562671,-6.509336,0,晶方科技,电子,申万一级行业
2024-05-07,sh.603005,17.8500,18.0200,17.7300,17.8200,17.9200,10618690,189470873.0000,3,1.628200,1,-0.558000,68.101295,2.813367,12.492567,-6.473012,0,晶方科技,电子,申万一级行业
2024-05-08,sh.603005,17.8600,17.8600,17.2700,17.3100,17.8200,12439142,217369805.2100,3,1.907300,1,-2.862000,66.152268,2.732850,12.135036,-6.287757,0,晶方科技,电子,申万一级行业
2024-05-09,sh.603005,17.3000,17.7500,17.3000,17.7400,17.3100,11287873,198889179.9200,3,1.730800,1,2.484100,67.795565,2.800737,12.436484,-6.443952,0,晶方科技,电子,申万一级行业
2024-05-10,sh.603005,17.7400,19.2000,17.7400,17.9500,17.7400,42282718,772630926.4100,3,6.483400,1,1.183800,68.598106,2.833891,12.583702,-6.520233,0,晶方科技,电子,申万一级行业
2024-05-13,sh.603005,17.6200,17.9600,17.2100,17.5700,17.9500,20861225,368179862.0000,3,3.198700,1,-2.117000,67.145890,2.773898,12.317306,-6.382201,0,晶方科技,电子,申万一级行业
2024-05-14,sh.603005,17.7100,17.9500,17.4700,17.6200,17.5700,12825199,226446338.2600,3,1.966500,1,0.284600,67.336971,2.781792,12.352359,-6.400363,0,晶方科技,电子,申万一级行业
2024-05-15,sh.603005,17.7500,18.2600,17.4500,17.7800,17.6200,28897706,517737690.7300,3,4.431000,1,0.908100,67.948430,2.807052,12.464525,-6.458482,0,晶方科技,电子,申万一级行业
