date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2023-01-03,sh.600000,7.2700,7.2800,7.1700,7.2300,7.2800,25892521,187094064.4100,3,0.088200,1,-0.686800,4.086661,0.366316,1.110045,-1.940724,0
2023-01-04,sh.600000,7.2700,7.3500,7.2300,7.3100,7.2300,30947081,226321372.0500,3,0.105400,1,1.106500,4.131880,0.370369,1.122328,-1.962198,0
2023-01-05,sh.600000,7.3700,7.3800,7.3000,7.3500,7.3100,30162154,221617354.6200,3,0.102800,1,0.547200,4.154489,0.372396,1.128469,-1.972935,0
2023-01-06,sh.600000,7.3500,7.3800,7.3100,7.3400,7.3500,20312881,149170537.8500,3,0.069200,1,-0.136100,4.148837,0.371889,1.126934,-1.970251,0
